Area,A-Text,AnydoTag,Area URL,ID,Nombre,URL-AREA
A0,A0-GTD,$A0-GTD,https://www.notion.so/dalarub/A0-GTD-116622cf315b8045a581f632b7c93f50?source=copy_link,3,GTD,"A0-GTD (https://www.notion.so/A0-GTD-116622cf315b8045a581f632b7c93f50?pvs=21) "
A3,A3-VIT,$A3-VIT,https://www.notion.so/dalarub/A3-VIT-131622cf315b80bf96d0e507fd575ece?source=copy_link,2,VIT,"A3-VIT (https://www.notion.so/A3-VIT-131622cf315b80bf96d0e507fd575ece?pvs=21) "
A2,A2-UNI,$A2-UNI,https://www.notion.so/dalarub/A2-UNI-131622cf315b803a983af2b2d9ee4b97?source=copy_link,4,UNI,"A2-UNI (https://www.notion.so/A2-UNI-131622cf315b803a983af2b2d9ee4b97?pvs=21) "
A1,A1-INV,$A1-INV,https://www.notion.so/dalarub/A1-INV-131622cf315b80cbb0c0ff79b3d81ca2?source=copy_link,1,INV,"A1-INV (https://www.notion.so/A1-INV-131622cf315b80cbb0c0ff79b3d81ca2?pvs=21) "
A4,A4-REF,$A4-REF,https://www.notion.so/dalarub/A4-ARC-117622cf315b802fb190fd57c122630f?source=copy_link,5,REF,"A4-ARC (https://www.notion.so/A4-ARC-117622cf315b802fb190fd57c122630f?pvs=21) "
"A0-GTD (https://www.notion.so/A0-GTD-116622cf315b8045a581f632b7c93f50?pvs=21) ",@A0-GTD -,$@A0-GTD -,,6,,
"A1-INV (https://www.notion.so/A1-INV-131622cf315b80cbb0c0ff79b3d81ca2?pvs=21) ",@A1-INV -,$@A1-INV -,,7,,
"A2-UNI (https://www.notion.so/A2-UNI-131622cf315b803a983af2b2d9ee4b97?pvs=21) ",@A2-UNI -,$@A2-UNI -,,8,,
"A3-VIT (https://www.notion.so/A3-VIT-131622cf315b80bf96d0e507fd575ece?pvs=21) ",@A3-VIT -,$@A3-VIT -,,9,,
"A4-ARC (https://www.notion.so/A4-ARC-117622cf315b802fb190fd57c122630f?pvs=21) ",@A4-ARC -,$@A4-ARC -,,10,,
