Name,AREA,AnydoTag,Fórmula,ID,Nombre,URL
B00,A0 (https://www.notion.so/A0-2a5622cf315b8157905ad77fe466d868?pvs=21),%B00-GTD,B00-GTD,C0B-1,GTD,
B0A,A0 (https://www.notion.so/A0-2a5622cf315b8157905ad77fe466d868?pvs=21),%B0A-INX,B0A-INX,C0B-2,INX,https://www.notion.so/dalarub/B0A-INX-117622cf315b80eebd25e6c58cb4d4e6?source=copy_link
B0B,A0 (https://www.notion.so/A0-2a5622cf315b8157905ad77fe466d868?pvs=21),%B0B-ABC,B0B-ABC,C0B-3,ABC,https://www.notion.so/dalarub/B0B-ABC-117622cf315b80229da5c5ac1de348b4?source=copy_link
B10,A1 (https://www.notion.so/A1-2a5622cf315b81de9b85e1adfc611bc1?pvs=21),%B10-INV,B10-INV,C0B-4,INV,
B0C,A0 (https://www.notion.so/A0-2a5622cf315b8157905ad77fe466d868?pvs=21),%B0C-PLA,B0C-PLA,C0B-5,PLA,https://www.notion.so/dalarub/B0C-PLA-117622cf315b807f8cb1c04219454c1f?source=copy_link
B11,A1 (https://www.notion.so/A1-2a5622cf315b81de9b85e1adfc611bc1?pvs=21),%B11-CVT,B11-CVT,C0B-6,CVT,https://www.notion.so/dalarub/B11-CVT-116622cf315b80f4bacfd1db3e85f0eb?source=copy_link
B12,A1 (https://www.notion.so/A1-2a5622cf315b81de9b85e1adfc611bc1?pvs=21),%B12-LAB,B12-LAB,C0B-7,LAB,https://www.notion.so/dalarub/B12-LAB-116622cf315b809e97ebf91d73761e7a?source=copy_link
B13,A1 (https://www.notion.so/A1-2a5622cf315b81de9b85e1adfc611bc1?pvs=21),%B13-PUB,B13-PUB,C0B-8,PUB,https://www.notion.so/dalarub/B13-PUB-124622cf315b80d0a9b5d2e27e9151be?source=copy_link
B20,A2 (https://www.notion.so/A2-2a5622cf315b81d8aaf5fec8a2d160a6?pvs=21),%B20-UNI,B20-UNI,C0B-9,UNI,
B24,A2 (https://www.notion.so/A2-2a5622cf315b81d8aaf5fec8a2d160a6?pvs=21),%B24-DOC,B24-DOC,C0B-10,DOC,https://www.notion.so/dalarub/B24-DOC-116622cf315b800db4e7dda8c21eb23c?source=copy_link
B25,A2 (https://www.notion.so/A2-2a5622cf315b81d8aaf5fec8a2d160a6?pvs=21),%B25-FOR,B25-FOR,C0B-11,FOR,https://www.notion.so/dalarub/B25-FOR-117622cf315b80689130c365c95731ef?source=copy_link
B26,A2 (https://www.notion.so/A2-2a5622cf315b81d8aaf5fec8a2d160a6?pvs=21),%B26-GES,B26-GES,C0B-12,GES,https://www.notion.so/dalarub/B26-GES-116622cf315b8083b6f6fc2f74850cf5?source=copy_link
B30,A3 (https://www.notion.so/A3-2a5622cf315b816cbcd9f82358750c97?pvs=21),%B30-VIT,B30-VIT,C0B-13,VIT,
B37,A3 (https://www.notion.so/A3-2a5622cf315b816cbcd9f82358750c97?pvs=21),%B37-ORG,B37-ORG,C0B-14,ORG,https://www.notion.so/dalarub/B37-ORG-117622cf315b8088b31ae62633cfd6d3?source=copy_link
B38,A3 (https://www.notion.so/A3-2a5622cf315b816cbcd9f82358750c97?pvs=21),%B38-TEC,B38-TEC,C0B-15,TEC,https://www.notion.so/dalarub/B38-TEC-117622cf315b8044a8def771371ea4dd?source=copy_link
B39,A3 (https://www.notion.so/A3-2a5622cf315b816cbcd9f82358750c97?pvs=21),%B39-DES,B39-DES,C0B-16,DES,https://www.notion.so/dalarub/B39-DES-117622cf315b80ec9ab4ef4fa96a9dbe?source=copy_link
B40,A4 (https://www.notion.so/A4-2a5622cf315b81e49546d2ece6dbdd49?pvs=21),%B40-REF,B40-REF,C0B-17,REF,
B4X,A4 (https://www.notion.so/A4-2a5622cf315b81e49546d2ece6dbdd49?pvs=21),%B4X-LIB,B4X-LIB,C0B-18,LIB,https://www.notion.so/dalarub/B4x-LIB-124622cf315b80a889adf0644399f771?source=copy_link
B4Y,A4 (https://www.notion.so/A4-2a5622cf315b81e49546d2ece6dbdd49?pvs=21),%B4Y-MED,B4Y-MED,C0B-19,MED,https://www.notion.so/dalarub/B4y-MED-124622cf315b80a394cbefe0042c0a33?source=copy_link
B4Z,A4 (https://www.notion.so/A4-2a5622cf315b81e49546d2ece6dbdd49?pvs=21),%B4Z-APP,B4Z-APP,C0B-20,APP,https://www.notion.so/dalarub/B4z-APP-124622cf315b809ca339c9f271ff90ee?source=copy_link
"B0A-KIT (https://www.notion.so/B0A-KIT-117622cf315b80eebd25e6c58cb4d4e6?pvs=21) ",@A0-GTD  (https://www.notion.so/2e8622cf315b802ba838e173de2f4b88?pvs=21),,,,,
"B0B-ABC (https://www.notion.so/B0B-ABC-117622cf315b80229da5c5ac1de348b4?pvs=21) ",@A0-GTD  (https://www.notion.so/2e8622cf315b802ba838e173de2f4b88?pvs=21),,,,,
"B0C-PLA (https://www.notion.so/B0C-PLA-117622cf315b807f8cb1c04219454c1f?pvs=21) ",@A0-GTD  (https://www.notion.so/2e8622cf315b802ba838e173de2f4b88?pvs=21),,,,,
"B11-CVT (https://www.notion.so/B11-CVT-116622cf315b80f4bacfd1db3e85f0eb?pvs=21) ",@A1-INV  (https://www.notion.so/2e8622cf315b809da630f86db82ee5d0?pvs=21),,,,,
"B12-LAB (https://www.notion.so/B12-LAB-116622cf315b809e97ebf91d73761e7a?pvs=21) ",@A1-INV  (https://www.notion.so/2e8622cf315b809da630f86db82ee5d0?pvs=21),,,,,
"B13-PUB (https://www.notion.so/B13-PUB-124622cf315b80d0a9b5d2e27e9151be?pvs=21) ",@A1-INV  (https://www.notion.so/2e8622cf315b809da630f86db82ee5d0?pvs=21),,,,,
"B24-DOC (https://www.notion.so/B24-DOC-116622cf315b800db4e7dda8c21eb23c?pvs=21) ",@A2-UNI  (https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85?pvs=21),,,,,
"B25-FOR (https://www.notion.so/B25-FOR-117622cf315b80689130c365c95731ef?pvs=21) ",@A2-UNI  (https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85?pvs=21),,,,,
"B26-GES (https://www.notion.so/B26-GES-116622cf315b8083b6f6fc2f74850cf5?pvs=21) ",@A2-UNI  (https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85?pvs=21),,,,,
"B37-ORG (https://www.notion.so/B37-ORG-117622cf315b8088b31ae62633cfd6d3?pvs=21) ",@A3-VIT  (https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567?pvs=21),,,,,
