Name,AREA,AnydoTag,Archivos multimedia,BLOQUE,C-TEXT,Fórmula,ID,Nombre,Rollup,TITULO,Tags,URL
C000,https://www.notion.so/2a5622cf315b8157905ad77fe466d868,&C000-GTD,,B00 (https://www.notion.so/B00-2a5622cf315b812b90c5cd5399553ac1?pvs=21),C000-GTD,@C000,1,GTD,,,,
C100,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C100-INV,,B10 (https://www.notion.so/B10-2a5622cf315b81029edbc9dec6323570?pvs=21),C100-INV,@C100,2,INV,,,,
C110,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C110-CVT,,B11 (https://www.notion.so/B11-2a5622cf315b81f0b92bcf7eb8c1ab6b?pvs=21),C110-CVT,@C110,3,CVT,,,,
C111,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C111-REP,,B11 (https://www.notion.so/B11-2a5622cf315b81f0b92bcf7eb8c1ab6b?pvs=21),C111-REP,@C111,4,REP,,,,
C112,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C112-SOL,,B11 (https://www.notion.so/B11-2a5622cf315b81f0b92bcf7eb8c1ab6b?pvs=21),C112-SOL,@C112,5,SOL,,,,
C113,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C113-CAT,,B11 (https://www.notion.so/B11-2a5622cf315b81f0b92bcf7eb8c1ab6b?pvs=21),C113-CAT,@C113,6,CAT,,,,
C120,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C120-LAB,,B12 (https://www.notion.so/B12-2a5622cf315b81218f24dd9d602080e8?pvs=21),C120-LAB,@C120,7,LAB,,,,
C124,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C124-PRY,,B12 (https://www.notion.so/B12-2a5622cf315b81218f24dd9d602080e8?pvs=21),C124-PRY,@C124,8,PRY,,,,
C125,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C125-DAT,,B12 (https://www.notion.so/B12-2a5622cf315b81218f24dd9d602080e8?pvs=21),C125-DAT,@C125,9,DAT,,,,
C126,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C126-DIR,,B12 (https://www.notion.so/B12-2a5622cf315b81218f24dd9d602080e8?pvs=21),C126-DIR,@C126,10,DIR,,,,
C130,https://www.notion.so/2a5622cf315b81de9b85e1adfc611bc1,&C130-PUB,,B13 (https://www.notion.so/B13-2a5622cf315b811f9352dfd743ca2e9a?pvs=21),C130-PUB,@C130,11,PUB,,,,
